| Header                                                       | Subheader                                                                        | Subsubheader                                                                     | Chunk #    | Chunk Summary                                                |
|--------------------------------------------------------------|----------------------------------------------------------------------------------|----------------------------------------------------------------------------------|------------|--------------------------------------------------------------|
| 1. The Insurance Eco-System                                  |                                                                                  |                                                                                  | 1          | Insurance: Risk pooling for financial security.              |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 2          | Simplified insurance network introduction.                   |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 3          | Diagram of insurance provider relationships.                 |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 4          | Client types within insurance ecosystem.                     |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 5          | Insurance client types: personal and commercial.             |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 6          | Business size classifications by revenue.                    |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 7          | Insurance purchase: direct or via intermediary               |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 8          | Insurance intermediaries: agents and brokers.                |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 9          | Intermediary type differences explained.                     |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 10         | Agent sells one company's insurance.                         |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 11         | Agent sells only their company's insurance.                  |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 12         | Brokers offer multiple insurer quotes.                       |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 13         | Insurance compensation structures explained.                 |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 14         | Insurers, not brokers, pay claims.                           |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 15         | Claim liability according to policy.                         |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 16         | Insurance premiums fund claims payouts.                      |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 17         | How insurance companies profit.                              |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 18         | Insurance profitability through investment & premiums.       |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 19         | Insurance: Profits not guaranteed.                           |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 20         | Insurance agent/broker commissions explained.                |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 21         | Agent vs. Broker: Conflicting Interests &...                 |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 22         | Broker commission tied to premium size.                      |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 23         | Insurers can also be dealmakers.                             |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 24         | Commission vs. direct purchase discounts.                    |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 25         | Brokers get cheaper insurance for clients.                   |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 26         | Channel strategies vary by product/market.                   |
| 1. The Insurance Eco-System                                  | 1.1. The insurance network:                                                      |                                                                                  | 27         | Reinsurers within the insurance ecosystem.                   |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 28         | Key roles within insurance networks.                         |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 29         | Insurance network's human component.                         |
| 1. The Insurance Eco-System                                  | 1.2. The insurance network - people                                              |                                                                                  | 30         | Clients use brokers to find best...                          |
